,gamma,alpha,p
221,1.2000000000000002,2.500000000000001,3.730358070458172e-05
222,1.3000000000000003,2.500000000000001,9.001638277456254e-06
223,1.4000000000000001,2.500000000000001,1.8279387472010638e-06
224,1.5000000000000002,2.500000000000001,3.203852245100438e-07
225,1.6,2.500000000000001,4.951726192003149e-08
226,1.7000000000000002,2.500000000000001,6.872721918098474e-09
227,1.8000000000000003,2.500000000000001,8.700810161419696e-10
228,1.9000000000000001,2.500000000000001,1.0182855521700895e-10
229,2.0,2.500000000000001,1.1145075528281227e-11
230,2.1,2.500000000000001,1.1522701320020237e-12
231,0.1,2.600000000000001,1.9997083188160838e-10
232,0.2,2.600000000000001,6.367913739327268e-08
233,0.30000000000000004,2.600000000000001,3.8159417004844014e-06
234,0.4,2.600000000000001,6.660322162555887e-05
235,0.5,2.600000000000001,0.00045035385669345854
236,0.6,2.600000000000001,0.0014397421487153921
237,0.7000000000000001,2.600000000000001,0.0025174516973264895
238,0.8,2.600000000000001,0.002688107179379423
239,0.9,2.600000000000001,0.0019093383858945583
240,1.0,2.600000000000001,0.0009653274741654569
241,1.1,2.600000000000001,0.000366842482110304
242,1.2000000000000002,2.600000000000001,0.00010954355129763572
243,1.3000000000000003,2.600000000000001,2.666244061533952e-05
244,1.4000000000000001,2.600000000000001,5.453263996256016e-06
245,1.5000000000000002,2.600000000000001,9.615364668155688e-07
246,1.6,2.600000000000001,1.493540186921283e-07
247,1.7000000000000002,2.600000000000001,2.0815904664996595e-08
248,1.8000000000000003,2.600000000000001,2.644414216566064e-09
249,1.9000000000000001,2.600000000000001,3.1037542211412753e-10
250,2.0,2.600000000000001,3.4051232308677e-11
251,2.1,2.600000000000001,3.5273872945931663e-12
252,0.1,2.700000000000001,3.183477360189205e-10
253,0.2,2.700000000000001,1.1277567295511772e-07
254,0.30000000000000004,2.700000000000001,7.2832122508557415e-06
255,0.4,2.700000000000001,0.0001344213927492323
256,0.5,2.700000000000001,0.0009489787910030655
257,0.6,2.700000000000001,0.003138770113881341
258,0.7000000000000001,2.700000000000001,0.005639603176568578
259,0.8,2.700000000000001,0.006155603073203233
260,0.9,2.700000000000001,0.004451017279936247
261,1.0,2.700000000000001,0.002283414699460158
262,1.1,2.700000000000001,0.0008781795888441584
263,1.2000000000000002,2.700000000000001,0.00026482544326038494
264,1.3000000000000003,2.700000000000001,6.498109059031859e-05
265,1.4000000000000001,2.700000000000001,1.3379422915468293e-05
266,1.5000000000000002,2.700000000000001,2.372071325844184e-06
267,1.6,2.700000000000001,3.7011308693818597e-07
268,1.7000000000000002,2.700000000000001,5.177422207142605e-08
269,1.8000000000000003,2.700000000000001,6.597079022953525e-09
270,1.9000000000000001,2.700000000000001,7.761832230061843e-10
271,2.0,2.700000000000001,8.532076111285476e-11
272,2.1,2.700000000000001,8.852032079931048e-12
273,0.1,2.800000000000001,4.258456746692528e-10
274,0.2,2.800000000000001,1.6788709892320716e-07
275,0.30000000000000004,2.800000000000001,1.1682087801670048e-05
276,0.4,2.800000000000001,0.00022789717725919389
277,0.5,2.800000000000001,0.001679029940374993
278,0.6,2.800000000000001,0.005742884705150309
279,0.7000000000000001,2.800000000000001,0.010598061916117386
280,0.8,2.800000000000001,0.01181895889651243
281,0.9,2.800000000000001,0.008695896853115512
282,1.0,2.800000000000001,0.004524478113749886
283,1.1,2.800000000000001,0.001760179171980096
284,1.2000000000000002,2.800000000000001,0.0005357975651306848
285,1.3000000000000003,2.800000000000001,0.00013247782973864266
286,1.4000000000000001,2.800000000000001,2.7446787324100153e-05
287,1.5000000000000002,2.800000000000001,4.8906972320460334e-06
288,1.6,2.800000000000001,7.662045822089029e-07
289,1.7000000000000002,2.800000000000001,1.0753270715993436e-07
290,1.8000000000000003,2.800000000000001,1.3737348554271528e-08
291,1.9000000000000001,2.800000000000001,1.6195525575885054e-09
292,2.0,2.800000000000001,1.7830351327810722e-10
293,2.1,2.800000000000001,1.8520390752741434e-11
294,0.1,2.9000000000000012,4.853850891191368e-10
295,0.2,2.9000000000000012,2.130388305528571e-07
296,0.30000000000000004,2.9000000000000012,1.5968048876397294e-05
297,0.4,2.9000000000000012,0.00032913804120145217
298,0.5,2.9000000000000012,0.002529602386986711
299,0.6,2.9000000000000012,0.008943661722852847
300,0.7000000000000001,2.9000000000000012,0.0169450531223266
301,0.8,2.9000000000000012,0.019299726605357434
302,0.9,2.9000000000000012,0.014443021899404199
303,1.0,2.9000000000000012,0.0076184484235131585
304,1.1,2.9000000000000012,0.002996892555605488
305,1.2000000000000002,2.9000000000000012,0.0009204705997115745
306,1.3000000000000003,2.9000000000000012,0.000229243133306573
307,1.4000000000000001,2.9000000000000012,4.777196218571048e-05
308,1.5000000000000002,2.9000000000000012,8.552121034102386e-06
309,1.6,2.9000000000000012,1.3447764012558519e-06
310,1.7000000000000002,2.9000000000000012,1.8927806264281618e-07
311,1.8000000000000003,2.9000000000000012,2.4234129024315274e-08
312,1.9000000000000001,2.9000000000000012,2.8618227353183874e-09
313,2.0,2.9000000000000012,3.154487298178009e-10
314,2.1,2.9000000000000012,3.27922426584244e-11
315,0.1,3.0000000000000013,4.773113669221748e-10
316,0.2,3.0000000000000013,2.3330363136302707e-07
317,0.30000000000000004,3.0000000000000013,1.8831996784873666e-05
318,0.4,3.0000000000000013,0.00040999037736582126
319,0.5,3.0000000000000013,0.003285806761046458
320,0.6,3.0000000000000013,0.012004401667171705
321,0.7000000000000001,3.0000000000000013,0.023342511394834356
322,0.8,3.0000000000000013,0.027143280481664582
323,0.9,3.0000000000000013,0.020653499472940467
324,1.0,3.0000000000000013,0.011041038875729813
325,1.1,3.0000000000000013,0.004390205247324666
326,1.2000000000000002,3.0000000000000013,0.0013601064706037622
327,1.3000000000000003,3.0000000000000013,0.0003410815799677542
328,1.4000000000000001,3.0000000000000013,7.146924357930217e-05
329,1.5000000000000002,3.0000000000000013,1.2849852826658245e-05
330,1.6,3.0000000000000013,2.0273772943827465e-06
331,1.7000000000000002,3.0000000000000013,2.860872359877893e-07
332,1.8000000000000003,3.0000000000000013,3.6698758305299505e-08
333,1.9000000000000001,3.0000000000000013,4.3396293445091e-09
334,2.0,3.0000000000000013,4.78767459159226e-10
335,2.1,3.0000000000000013,4.979501721947852e-11
336,0.1,3.1000000000000014,4.094674379159508e-10
337,0.2,3.1000000000000014,2.229505434108693e-07
338,0.30000000000000004,3.1000000000000014,1.937542708979932e-05
339,0.4,3.1000000000000014,0.00044537672494284505
340,0.5,3.1000000000000014,0.0037208415298915485
341,0.6,3.1000000000000014,0.01404221186793764
342,0.7000000000000001,3.1000000000000014,0.028014971567249393
343,0.8,3.1000000000000014,0.033249463775682955
344,0.9,3.1000000000000014,0.025716776928076054
345,1.0,3.1000000000000014,0.01392895332352885
