Sub,Trial,img,type,RT,Reaction
3-pancancan,18,7,2,10359.607,0
3-pancancan,19,31,1,7973.129,0
3-pancancan,20,5,1,10185.49,1
3-pancancan,21,3,1,7628.235,0
3-pancancan,22,8,2,7158.767,0
3-pancancan,23,47,1,2268.841,0
3-pancancan,24,38,1,11445.521,0
3-pancancan,25,11,2,12320.148,0
3-pancancan,26,48,2,3967.819,1
3-pancancan,27,30,2,13332.527,0
3-pancancan,28,33,2,7092.944,1
3-pancancan,29,44,2,5274.874,1
3-pancancan,30,34,1,8684.366,0
3-pancancan,31,1,2,14797.517,1
3-pancancan,32,35,2,19009.901,0
3-pancancan,33,13,1,6220.592,0
4-zhuping,1,7,2,1691.397,0
4-zhuping,2,15,2,1263.878,1
4-zhuping,3,44,2,1323.948,0
4-zhuping,4,40,2,1844.856,1
4-zhuping,5,25,1,2714.892,1
4-zhuping,6,47,2,2319.136,0
4-zhuping,7,16,1,6723.166,1
4-zhuping,8,41,1,4869.099,1
4-zhuping,9,48,1,3492.117,0
4-zhuping,10,34,2,5522.187,0
4-zhuping,11,1,1,5488.551,1
4-zhuping,12,21,2,4632.284,0
4-zhuping,13,3,1,6981.285,0
4-zhuping,14,46,1,6381.707,0
4-zhuping,15,12,1,5882.29,1
4-zhuping,16,42,1,4488.606,1
4-zhuping,17,35,1,5942.241,0
4-zhuping,18,13,2,5084.69,0
4-zhuping,19,36,2,5903.193,0
4-zhuping,20,4,2,5994.158,1
4-zhuping,21,45,2,6960.516,0
4-zhuping,22,30,2,3921.256,1
4-zhuping,23,9,2,3926.763,1
4-zhuping,24,5,1,1547.677,0
4-zhuping,25,17,2,1624.578,0
4-zhuping,26,31,2,4588.696,1
4-zhuping,27,37,2,5075.503,0
4-zhuping,28,38,2,1766.637,1
4-zhuping,29,8,1,6621.384,0
4-zhuping,30,11,2,5253.991,0
4-zhuping,31,23,1,4893.083,1
4-zhuping,32,26,2,4216.61,1
4-zhuping,33,33,1,3525.772,1
5-liying,1,36,2,10617.068,1
5-liying,2,14,2,8480.481,0
5-liying,3,29,2,42536.312,1
5-liying,4,46,2,8046.088,1
5-liying,5,8,2,16149.95,1
5-liying,6,34,1,19440.127,0
5-liying,7,31,1,7413.572,1
5-liying,8,5,1,14691.384,0
5-liying,9,47,1,7710.496,0
5-liying,10,43,2,18882.756,0
5-liying,11,7,2,25175.787,1
5-liying,12,45,1,3779.73,0
5-liying,13,44,1,12943.731,0
5-liying,14,3,2,10317.316,1
5-liying,15,26,1,11457.999,1
5-liying,16,24,1,9203.476,0
5-liying,17,1,2,19569.267,1
5-liying,18,23,2,10918.695,1
5-liying,19,10,1,22314.927,1
5-liying,20,4,2,5044.123,0
5-liying,21,19,2,13226.992,1
5-liying,22,12,2,5304.81,0
5-liying,23,25,2,6255.876,0
5-liying,24,22,2,6363.454,0
5-liying,25,39,2,12322.493,1
5-liying,26,30,1,5756.222,0
5-liying,27,21,1,10775.135,1
5-liying,28,48,1,6124.593,1
5-liying,29,20,2,2519.614,0
5-liying,30,42,2,3202.596,0
5-liying,31,13,1,3947.966,1
5-liying,32,6,1,4135.138,0
5-liying,33,11,1,7170.052,1
5-liying,34,37,1,8665.749,0
5-liying,35,9,2,3087.848,1
5-liying,36,17,1,6595.249,0
5-liying,37,38,2,5582.429,1
5-liying,38,16,1,8750.512,1
5-liying,39,32,2,5381.378,0
5-liying,40,27,2,2433.623,0
5-liying,41,18,1,4451.926,0
5-liying,42,40,1,6385.613,1
5-liying,43,41,1,7457.365,1
5-liying,44,15,2,3140.542,0
5-liying,45,2,1,11476.16,1
5-liying,46,35,1,2993.143,0
5-liying,47,28,1,3240.738,0
5-liying,48,33,2,4229.466,1
6-jiangjingqing,1,5,2,8688.363,0
6-jiangjingqing,2,7,2,4162.144,1
6-jiangjingqing,3,33,2,8051.619,1
6-jiangjingqing,4,8,2,14893.307,1
6-jiangjingqing,5,25,1,5095.646,0
6-jiangjingqing,6,21,1,3566.247,0
6-jiangjingqing,7,1,2,4016.69,1
6-jiangjingqing,8,16,1,3707.275,0
6-jiangjingqing,9,40,1,7526.712,1
6-jiangjingqing,10,3,2,5497.997,1
6-jiangjingqing,11,26,2,2923.385,0
6-jiangjingqing,12,47,1,2555.013,0
6-jiangjingqing,13,37,2,4884.57,1
6-jiangjingqing,14,38,2,5555.652,1
6-jiangjingqing,15,13,2,10501.314,0
6-jiangjingqing,16,36,1,5037.939,0
6-jiangjingqing,17,41,2,3193.86,1
6-jiangjingqing,18,42,1,3652.765,0
6-jiangjingqing,19,15,2,7725.644,0
6-jiangjingqing,20,30,1,3799.201,0
6-jiangjingqing,21,46,2,5734.206,1
6-jiangjingqing,22,12,1,3226.9,0
6-jiangjingqing,23,9,2,10967.016,0
6-jiangjingqing,24,23,1,5204.101,1
6-jiangjingqing,25,11,2,6448.633,1
6-jiangjingqing,26,17,2,2904.815,1
6-jiangjingqing,27,35,2,5748.278,0
6-jiangjingqing,28,31,2,2572.292,1
6-jiangjingqing,29,45,2,3753.94,1
6-jiangjingqing,30,48,1,5211.584,0
6-jiangjingqing,31,44,1,2906.893,0
6-jiangjingqing,32,4,2,3121.147,0
6-jiangjingqing,33,34,2,8458.64,0
6-lvjingying,1,43,1,12971.722,0
6-lvjingying,2,36,1,12672.063,1
6-lvjingying,3,35,2,15170.608,0
6-lvjingying,4,40,2,8043.075,0
6-lvjingying,5,12,1,14661.506,0
6-lvjingying,6,13,2,22747.667,1
6-lvjingying,7,45,1,13920.441,1
6-lvjingying,8,21,2,24176.296,1
6-lvjingying,9,4,1,14900.795,0
6-lvjingying,10,18,2,26004.335,0
6-lvjingying,11,22,2,10618.749,0
6-lvjingying,12,16,2,24981.348,1
6-lvjingying,13,6,2,9062.544,0
6-lvjingying,14,14,2,3391.725,0
6-lvjingying,15,30,2,27263.034,1
6-lvjingying,16,47,1,23755.923,1
6-lvjingying,17,44,1,10663.032,0
6-lvjingying,18,2,2,14141.058,0
6-lvjingying,19,20,2,5379.366,0
6-lvjingying,20,25,2,15984.251,1
6-lvjingying,21,33,1,6418.893,0
6-lvjingying,22,42,2,8892.476,1
6-lvjingying,23,24,1,13136.299,0
6-lvjingying,24,7,1,8352.059,1
6-lvjingying,25,48,1,12696.34,1
6-lvjingying,26,37,1,4292.978,0
6-lvjingying,27,11,2,19644.195,0
6-lvjingying,28,28,1,14616.81,1
6-lvjingying,29,34,2,14159.696,1
6-lvjingying,30,41,2,9763.495,1
6-lvjingying,31,27,2,9766.633,0
6-lvjingying,32,3,1,7976.127,1
6-lvjingying,33,23,2,18125.662,1
6-lvjingying,34,8,2,17501.568,0
6-lvjingying,35,5,2,32348.484,1
6-lvjingying,36,32,2,6343.485,0
6-lvjingying,37,31,2,6100.857,0
6-lvjingying,38,38,1,18130.297,1
6-lvjingying,39,46,1,25611.171,1
6-lvjingying,40,17,2,24968.078,0
6-lvjingying,41,26,1,15320.627,1
6-lvjingying,42,15,1,20118.183,1
6-lvjingying,43,9,2,17084.633,1
6-lvjingying,44,29,2,22920.45,0
6-lvjingying,45,19,1,13843.182,0
6-lvjingying,46,39,2,7316.404,0
6-lvjingying,47,10,2,7683.41,0
6-lvjingying,48,1,2,14217.127,0
7-wangjiayu,1,3,1,12588.022,0
7-wangjiayu,2,47,1,9734.364,0
7-wangjiayu,3,39,2,7948.694,0
7-wangjiayu,4,40,1,11633.957,0
7-wangjiayu,5,41,1,15265.682,0
7-wangjiayu,6,46,1,10245.201,1
7-wangjiayu,7,31,2,11572.745,1
7-wangjiayu,8,25,1,12862.42,1
7-wangjiayu,9,44,1,13724.114,0
7-wangjiayu,10,7,1,9877.603,1
7-wangjiayu,11,32,1,9641.026,0
7-wangjiayu,12,17,1,7895.987,0
7-wangjiayu,13,6,1,7550.159,0
7-wangjiayu,14,37,1,8741.501,1
7-wangjiayu,15,20,2,6034.398,0
7-wangjiayu,16,4,2,6401.614,1
7-wangjiayu,17,16,2,9880.74,0
7-wangjiayu,18,11,1,11155.615,0
7-wangjiayu,19,13,1,7027.481,0
7-wangjiayu,20,33,2,9826.741,0
7-wangjiayu,21,5,1,10800.328,1
7-wangjiayu,22,9,2,5236.839,1
7-wangjiayu,23,22,2,6339.882,1
7-wangjiayu,24,2,2,3387.225,1
7-wangjiayu,25,45,1,5940.29,0
7-wangjiayu,26,43,2,8805.349,1
7-wangjiayu,27,28,1,8437.492,1
7-wangjiayu,28,38,1,2709.262,1
7-wangjiayu,29,30,2,8921.251,1
7-wangjiayu,30,21,1,11396.693,0
7-wangjiayu,31,42,1,4203.887,1
7-wangjiayu,32,1,1,7670.936,1
7-wangjiayu,33,34,2,2678.562,1
7-wangjiayu,34,15,1,3150.966,1
7-wangjiayu,35,24,2,9675.58,1
7-wangjiayu,36,12,2,7935.206,1
7-wangjiayu,37,36,1,3605.491,1
7-wangjiayu,38,18,1,7005.789,0
7-wangjiayu,39,14,1,4546.502,0
7-wangjiayu,40,8,2,7400.123,0
7-wangjiayu,41,35,2,8302.163,0
7-wangjiayu,42,23,2,4825.123,0
7-wangjiayu,43,48,2,4341.035,0
7-wangjiayu,44,26,2,5640.641,0
7-wangjiayu,45,29,2,6555.905,1
7-wangjiayu,46,10,2,2557.324,1
7-wangjiayu,47,19,1,5045.698,1
7-wangjiayu,48,27,2,2140.199,0
8-zhaoshan,1,32,2,4955.668,0
8-zhaoshan,2,23,2,14187.338,0
8-zhaoshan,3,30,2,14606.697,1
8-zhaoshan,4,22,2,2141.78,0
