sub,img,information_content,conditional_entropy
13,10369,2.5218279868571756,2.7013809650520844
13,10407,4.24868105748769,1.4557517458974154
13,10447,3.3822517609338325,1.4764527111030858
13,10587,8.805457031205146,0.0
13,10619,1.8853942951629985,2.7549896527517963
13,10632,2.590703370901092,1.5008544293414074
13,10653,3.744698914732434,1.5887747821922034
13,10660,0.3625331498343792,3.6303657335788717
13,10702,4.727198122692775,1.6419288211263083
13,10732,4.328396733126954,1.8435885732905357
13,10750,6.346355144813613,0.7453341351413016
13,10842,0.693536779337795,2.907431235954271
13,10864,5.15866171326934,1.6997948470013615
14,10005,0.28492039858525947,2.3987415266743874
14,10018,-2.256502028466053,3.407215135778504
14,10042,6.078876411348753,0.7347912904588288
14,10077,3.4035108223376085,1.8537494557367997
14,10157,-1.6581602818811056,3.8366121275459917
14,10168,3.852651487034178,1.4974149596760153
14,10183,1.1426794973204066,2.774464060528149
14,10369,3.02296109855269,2.7513248907456846
14,10407,4.571331699263557,1.4647879514215425
14,10447,3.4706596892514288,1.6357745957292884
14,10587,3.016705860519611,0.40328869491001973
14,10619,1.5738088124420297,2.7911950016816203
14,10632,3.8868239464657957,1.6032994057055228
14,10653,4.3638372188679835,1.6888807525335563
14,10660,0.9853856414068067,3.58450026369174
14,10702,3.7983450426171625,1.6149135342059935
14,10732,4.037225660986221,1.857180271287606
14,10750,7.075535580065822,0.7520000315795119
14,10842,-0.037491553387404716,2.8452235259870697
14,10864,4.54665892338955,1.634610306434784
15,10005,0.3124294478168314,2.4584244553154533
15,10018,-2.175302761486211,3.6350403935650024
15,10042,5.589669803042832,0.5669458616762147
15,10077,4.221597399319618,1.8312355546307555
15,10157,-0.9516487692886686,3.7085518149083385
15,10168,1.0315316055910975,2.649318573459782
15,10183,1.7109625756870903,2.7442270855435966
15,10369,2.4777023398374576,2.8118439488843103
15,10407,4.586737969353216,1.5724586523649373
15,10447,4.106445380341196,1.6630426713013553
15,10587,5.183151917013849,0.6174012296692286
15,10619,1.9509699531391989,2.7986715405678413
15,10632,6.311791651857342,1.7456047573840274
15,10653,5.2356484573401625,1.7362991585564629
15,10660,0.7416138940132079,3.9671598636247136
15,10702,4.450109160096119,1.5758187896017795
15,10732,3.615219763836066,1.7778942225742065
15,10750,7.029009786667079,0.6883702851775354
15,10842,0.14488215923349188,2.9092972333703786
15,10864,4.818202523868661,1.5736567014320497
16,10005,0.17967081468734014,2.3948329760499054
16,10018,-2.229595984233275,3.577549025232948
16,10042,5.525813267234695,0.6724287034414105
16,10077,3.6683447047572524,1.8203638751606033
16,10157,-0.992218556350704,3.4596710657284415
16,10168,0.9480129559401278,2.6803424370073254
16,10183,1.726518321998323,2.793989642898775
16,10369,0.5637601292017228,2.802795027400699
16,10407,3.418527796413568,1.5311918506149913
16,10447,3.7763938987810817,1.5961797274770557
16,10587,5.8366754793501245,0.6096239102499623
16,10619,1.4978540366811508,2.7342654512899536
16,10632,4.4841709812895765,1.5554955567714261
16,10653,3.3132147600842106,1.7080496352531411
16,10660,-0.11779156001500148,4.159921831827734
16,10702,4.494609226385437,1.6446033034988519
16,10732,3.5333406415227344,1.715243396767051
16,10750,7.166498184502092,0.6623687594959382
16,10842,0.14488215923349188,2.9092972333703786
16,10864,4.575774127038274,1.5388821099400811
